Theme,Less Than 3,Greater than 3,MaleAgree(>3),FemaleAgree(>3),maleAgreePercent,femaleAgreePercent,MaleAgree(<3),FemaleAgree(<3),maleDisPercent,femaleDisPercent,villageAgree,cityAgree,villageDisagree,cityDisagree,villageAgreePercent,cityAgreePercent,villageDisPercent,cityDisPercent,
Healthy eating,218,285,118,165,0.287104623,0.278246206,115,101,0.279805353,0.170320405,76,206,72,146,0.254180602,0.2913719943,0.240802676,0.227722772,
Daily events,301,316,145,168,0.352798054,0.283305228,111,189,0.270072993,0.318718381,87,228,97,203,0.2909698997,0.3224893918,0.317725753,0.281471004,
Prioritizing workload,460,238,93,143,0.226277372,0.241146712,195,263,0.474452555,0.443507589,84,151,132,327,0.2809364548,0.2135785007,0.474916388,0.446958982,
Writing notes,370,414,119,291,0.289537713,0.490725126,200,170,0.486618005,0.286677909,135,277,108,261,0.4515050167,0.3917963225,0.421404682,0.366336634,
Workaholism,368,346,134,209,0.326034063,0.352445194,159,208,0.386861314,0.350758853,103,242,110,257,0.3444816054,0.342291372,0.367892977,0.371994342,
Thinking ahead,222,474,208,261,0.506082725,0.440134907,88,134,0.214111922,0.225969646,149,323,67,154,0.4983277592,0.4568599717,0.244147157,0.217821782,
Final judgement,440,258,95,162,0.231143552,0.273187184,195,242,0.474452555,0.408094435,99,156,106,334,0.3311036789,0.2206506365,0.47826087,0.434229137,
Reliability,80,677,268,406,0.652068127,0.6846543,44,36,0.107055961,0.060708263,197,477,25,55,0.6588628763,0.6746817539,0.08361204,0.082036775,
Keeping promises,56,743,308,431,0.749391727,0.726812816,25,31,0.060827251,0.05227656,225,514,22,34,0.7525083612,0.7270155587,0.056856187,0.048090523
Loss of interest,473,293,121,170,0.294403893,0.286677909,178,292,0.433090024,0.492411467,78,214,151,319,0.2608695652,0.3026874116,0.484949833,0.455445545
Friends versus money,123,606,223,380,0.542579075,0.640809444,67,55,0.163017032,0.092748735,192,410,31,92,0.6421404682,0.5799151344,0.143812709,0.130127298
Funniness,226,424,215,207,0.523114355,0.349072513,63,161,0.153284672,0.271500843,121,301,56,169,0.4046822742,0.4257425743,0.260869565,0.216407355
Fake,707,116,60,55,0.145985401,0.092748735,271,431,0.659367397,0.726812816,34,81,207,497,0.1137123746,0.1145685997,0.682274247,0.700141443
Criminal damage,548,317,171,143,0.416058394,0.241146712,184,362,0.447688564,0.610455312,85,230,171,375,0.2842809365,0.3253182461,0.498327759,0.538896747
Decision making,286,381,133,246,0.323600973,0.414839798,124,160,0.301703163,0.269814503,123,255,89,196,0.4113712375,0.360678925,0.317725753,0.270155587
Elections,304,543,231,309,0.562043796,0.521079258,112,189,0.272506083,0.318718381,151,390,92,210,0.5050167224,0.5516265912,0.327759197,0.294200849
Self-criticism,182,549,206,340,0.501216545,0.573355818,84,98,0.204379562,0.165261383,170,377,58,124,0.5685618729,0.5332390382,0.16722408,0.176803395
Judgment calls,70,701,277,421,0.673965937,0.70994941,30,38,0.072992701,0.064080944,215,483,18,52,0.7190635452,0.6831683168,0.050167224,0.079207921
Hypochondria,732,118,36,80,0.087591241,0.134907251,310,419,0.754257908,0.706576728,38,79,201,530,0.127090301,0.1117397454,0.732441472,0.705799151
Empathy,129,665,223,437,0.542579075,0.73693086,83,46,0.201946472,0.077571669,207,456,30,97,0.6923076923,0.6449787836,0.123745819,0.13437058
Eating to survive,649,171,86,85,0.209245742,0.143338954,245,400,0.596107056,0.674536256,58,110,179,470,0.1939799331,0.1555869873,0.62541806,0.622347949
Giving,366,343,96,243,0.233576642,0.409780776,186,178,0.452554745,0.300168634,107,234,105,259,0.3578595318,0.3309759547,0.351170569,0.357850071
Compassion to animals,141,684,238,442,0.579075426,0.745362563,86,55,0.209245742,0.092748735,205,476,36,104,0.6856187291,0.6732673267,0.123745819,0.159830269
Borrowed stuff,98,739,289,444,0.703163017,0.748735245,47,51,0.114355231,0.086003373,226,510,30,68,0.7558528428,0.7213578501,0.10367893,0.091937765
Loneliness,378,272,102,167,0.248175182,0.281618887,168,209,0.408759124,0.352445194,85,186,113,263,0.2842809365,0.2630834512,0.331103679,0.367751061
Cheating in school,205,576,241,330,0.586374696,0.556492411,89,115,0.216545012,0.193929174,165,410,61,143,0.5518394649,0.5799151344,0.217391304,0.195190948
Health,208,400,147,252,0.357664234,0.424957841,114,92,0.277372263,0.155143339,126,272,61,147,0.4214046823,0.3847241867,0.170568562,0.202263083
Changing the past,375,337,138,195,0.335766423,0.328836425,151,222,0.367396594,0.374367622,102,233,107,267,0.3411371237,0.3295615276,0.377926421,0.380480905
God,309,483,171,310,0.416058394,0.522765599,152,156,0.369829684,0.26306914,177,305,65,242,0.5919732441,0.4314002829,0.307692308,0.314002829
Dreams,71,348,154,194,0.374695864,0.327150084,29,42,0.070559611,0.070826307,91,257,23,46,0.3043478261,0.3635077793,0.073578595,0.072135785
Charity,655,86,37,49,0.090024331,0.082630691,276,375,0.671532847,0.63237774,15,70,201,451,0.05016722408,0.09900990099,0.642140468,0.650636492
Number of friends,177,406,174,230,0.423357664,0.387858347,78,97,0.189781022,0.163575042,123,282,62,114,0.4113712375,0.3988684583,0.18729097,0.186704385
Punctuality,726,282,315,406,0.766423358,0.6846543,95,186,0.231143552,0.313659359,233,490,64,217,0.779264214,0.6930693069,0.214046823,0.306930693
Lying,51,957,390,561,0.9489051095,0.9460370995,19,32,0.04622871046,0.05396290051,279,675,19,31,0.9331103679,0.954738331,0.0635451505,0.04384724187
Waiting,426,187,84,101,0.204379562,0.170320405,168,257,0.408759124,0.433389545,55,132,128,295,0.1839464883,0.1867043847,0.434782609,0.394625177
New environment,189,515,223,291,0.542579075,0.490725126,68,119,0.165450122,0.200674536,161,352,51,137,0.5384615385,0.4978783593,0.160535117,0.195190948
Mood swings,241,386,115,266,0.279805353,0.44856661,146,95,0.355231144,0.160202361,105,280,73,166,0.3511705686,0.396039604,0.220735786,0.250353607
Appearence and gestures,107,555,206,347,0.501216545,0.585160202,59,48,0.143552311,0.080944351,156,396,28,78,0.5217391304,0.5601131542,0.10367893,0.110325318
Socializing,257,362,136,224,0.330900243,0.377740304,99,158,0.240875912,0.266441821,112,248,70,186,0.3745819398,0.3507779349,0.244147157,0.257425743
Achievements,276,262,126,135,0.306569343,0.227655987,110,164,0.267639903,0.276559865,66,195,89,185,0.220735786,0.2758132956,0.287625418,0.26874116
Responding to a serious letter,294,378,147,231,0.357664234,0.389544688,117,175,0.284671533,0.295109612,109,267,90,203,0.364548495,0.3776520509,0.274247492,0.30834512
Children,157,540,168,369,0.408759124,0.622259696,71,85,0.172749392,0.143338954,172,365,39,117,0.5752508361,0.5162659123,0.150501672,0.158415842
Assertiveness,171,516,203,311,0.493917275,0.524451939,65,104,0.158150852,0.175379427,147,366,60,111,0.491638796,0.5176803395,0.143812709,0.151343706
Getting angry,324,344,114,227,0.277372263,0.382799325,165,157,0.401459854,0.264755481,93,251,108,215,0.3110367893,0.3550212164,0.35451505,0.325318246
Knowing the right people,163,521,210,307,0.510948905,0.517706577,69,94,0.167883212,0.15851602,144,376,47,114,0.4816053512,0.531824611,0.157190635,0.171145686
Public speaking,216,532,184,344,0.447688564,0.58010118,106,109,0.257907543,0.18381113,149,380,69,146,0.4983277592,0.5374823197,0.214046823,0.202263083
Unpopularity,150,468,173,291,0.420924574,0.490725126,78,71,0.189781022,0.119730185,147,319,43,107,0.491638796,0.4512022631,0.147157191,0.149929279
Life struggles,381,405,55,349,0.133819951,0.588532884,277,103,0.673965937,0.173693086,119,285,115,264,0.397993311,0.4031117397,0.371237458,0.384724187
Happiness in life,71,651,269,380,0.654501217,0.640809444,30,40,0.072992701,0.067453626,201,447,20,51,0.6722408027,0.6322489392,0.08361204,0.067892504
Energy levels,118,579,231,346,0.562043796,0.583473862,53,65,0.128953771,0.109612142,186,391,32,85,0.6220735786,0.5530410184,0.117056856,0.113154173
Small - big dogs,308,313,152,159,0.369829684,0.268128162,91,215,0.221411192,0.362563238,91,220,97,209,0.3043478261,0.3111739745,0.331103679,0.306930693
Personality,53,326,159,165,0.386861314,0.278246206,23,28,0.055961071,0.047217538,100,224,16,36,0.3344481605,0.3168316832,0.060200669,0.053748232
Finding lost valuables,361,295,96,195,0.233576642,0.328836425,177,182,0.430656934,0.306913997,88,206,100,260,0.2943143813,0.2913719943,0.364548495,0.352192362
Getting up,230,567,219,345,0.532846715,0.581787521,94,135,0.228710462,0.227655987,155,409,78,151,0.5183946488,0.5785007072,0.240802676,0.226308345
Interests or hobbies,178,514,230,282,0.559610706,0.475548061,62,113,0.150851582,0.190556492,156,355,55,123,0.5217391304,0.5021216407,0.170568562,0.178217822
Parents' advice,153,400,133,263,0.323600973,0.443507589,80,73,0.194647202,0.123102867,124,274,40,112,0.4147157191,0.387553041,0.16722408,0.145685997
Questionnaires or polls,392,216,68,146,0.165450122,0.246205734,189,201,0.459854015,0.338954469,67,148,105,286,0.2240802676,0.2093352192,0.418060201,0.386138614
Internet usage,139,868,374,488,0.9099756691,0.8229342327,36,103,0.08759124088,0.173693086,249,616,48,90,0.8327759197,0.8712871287,0.1605351171,0.1272984441
Finances,299,350,137,212,0.333333333,0.357504216,136,160,0.330900243,0.269814503,125,223,78,221,0.4180602007,0.315417256,0.287625418,0.280056577
Shopping centres,308,457,148,307,0.360097324,0.517706577,155,150,0.377128954,0.252951096,142,314,83,223,0.474916388,0.4441301273,0.317725753,0.304101839
Branded clothing,328,397,207,189,0.503649635,0.318718381,105,221,0.255474453,0.372681282,102,292,108,219,0.3411371237,0.4130127298,0.341137124,0.323903819
Entertainment spending,284,411,210,198,0.510948905,0.333895447,90,192,0.218978102,0.323777403,112,297,96,187,0.3745819398,0.4200848656,0.294314381,0.287128713
Spending on looks,317,391,135,254,0.328467153,0.428330523,156,159,0.379562044,0.268128162,99,291,111,205,0.3311036789,0.4115983027,0.287625418,0.321074965
Spending on gadgets,431,322,184,136,0.447688564,0.229342327,115,312,0.279805353,0.52613828,83,238,147,283,0.2775919732,0.3366336634,0.391304348,0.415841584
Spending on healthy eating,173,553,224,324,0.545012165,0.546374368,70,103,0.170316302,0.173693086,153,398,59,113,0.5117056856,0.5629420085,0.160535117,0.176803395